TIME,Base,Minor,Rssi,,,
28:17.5,21,26,-66,,,
28:17.5,21,47,-64,,,
28:17.6,21,57,-67,,,
28:17.6,21,34,-73,,,
28:17.6,21,56,-68,,,
28:17.6,21,37,-64,,,
28:17.6,21,58,-80,,,
28:17.6,21,41,-52,,,
28:17.6,21,43,-68,,,
28:17.6,21,60,-67,,,
28:17.6,21,40,-77,,,
28:17.6,21,49,-72,,,
28:17.6,21,29,-66,,,
28:17.6,21,24,-53,,,
28:17.6,21,25,-60,,,
28:17.7,21,53,-69,,,
28:17.7,21,33,-71,,,
28:17.7,21,38,-69,,,
28:17.7,21,35,-78,,,
28:17.7,21,56,-68,,,
28:17.7,21,22,-49,,,
28:17.7,21,21,-57,,,
28:17.7,21,49,-72,,,
28:17.7,21,29,-66,,,
28:17.7,21,24,-53,,,
28:17.7,21,45,-70,,,
28:17.8,21,57,-70,,,
28:17.8,21,58,-69,,,
28:17.8,21,41,-53,,,
28:17.8,21,44,-61,,,
28:17.8,21,43,-61,,,
